"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Oxytocin receptor   (by homology)","OXTR","P30559","CHEMBL2049","Family A G protein-coupled receptor","0.406773550729","77 /  166     "
"Neurokinin 1 receptor","TACR1","P25103","CHEMBL249","Family A G protein-coupled receptor","0.401277807544","45 /  497     "
"Vasopressin V1a receptor","AVPR1A","P37288","CHEMBL1889","Family A G protein-coupled receptor","0.295316190052","21 /  83     "
"Mu opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.26559724526","14 /  1749     "
"Thyrotropin-releasing hormone receptor   (by homology)","TRHR","P34981","CHEMBL1810","Family A G protein-coupled receptor","0.244135159955","0 /  4     "
"Baculoviral IAP repeat-containing protein 3","BIRC3","Q13489","CHEMBL5335","Enzyme","0.244135159955","0 /  35     "
"Vasopressin V2 receptor   (by homology)","AVPR2","P30518","CHEMBL1790","Family A G protein-coupled receptor","0.208708524619","37 /  71     "
"Cathepsin L","CTSL","P07711","CHEMBL3837","Protease","0.160206441593","87 /  241     "
"Calpain 1","CAPN1","P07384","CHEMBL3891","Protease","0.131513024748","57 /  200     "
"Appetite-regulating hormone","GHRL","Q9UBU3","CHEMBL1921664","Unclassified protein","0.131513024748","0 /  45     "
"Galanin receptor 1","GALR1","P47211","CHEMBL4894","Family A G protein-coupled receptor","0.112222066486","4 /  7     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.112222066486","82 /  508     "
"HLA class II histocompatibility antigen DRB1-1","HLA-DRB1","P04229","CHEMBL1943","Surface antigen","0.102431863734","13 /  34     "
"Galanin receptor 2","GALR2","O43603","CHEMBL3176","Family A G protein-coupled receptor","0.102431863734","4 /  7     "
"Cathepsin (B and K)","CTSB","P07858","CHEMBL4072","Protease","0.102431863734","67 /  243     "
"Ghrelin receptor","GHSR","Q92847","CHEMBL4616","Family A G protein-coupled receptor","0.0927518343406","33 /  77     "
"Inhibitor of apoptosis protein 3","XIAP","P98170","CHEMBL4198","Other cytosolic protein","0.0833265263612","1 /  333     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0833265263612","132 /  584     "
"Melanocortin receptor 4","MC4R","P32245","CHEMBL259","Family A G protein-coupled receptor","0.0833265263612","95 /  1082     "
"Melanocortin receptor 3","MC3R","P41968","CHEMBL4644","Family A G protein-coupled receptor","0.0833265263612","27 /  318     "
"Baculoviral IAP repeat-containing protein 2","BIRC2","Q13490","CHEMBL5462","Enzyme","0.0833265263612","1 /  82     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0833265263612","5 /  464     "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.0738845559978","104 /  152     "
"Melanocortin receptor 1","MC1R","Q01726","CHEMBL3795","Family A G protein-coupled receptor","0.0738845559978","26 /  267     "
"Delta opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.0738845559978","7 /  1385     "
"Trypsin I","PRSS1","P07477","CHEMBL209","Protease","0.0738845559978","12 /  87     "
"Menin","MEN1","O00255","CHEMBL1615381","Unclassified protein","0.0738845559978","0 /  21     "
"Max-like protein X","MLX","Q9UH92","CHEMBL2062357","Unclassified protein","0.0738845559978","0 /  6     "
"Neuropeptide FF receptor 2   (by homology)","NPFFR2","Q9Y5X5","CHEMBL5952","Family A G protein-coupled receptor","0.0738845559978","0 /  48     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0738845559978","25 /  400     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.0738845559978","31 /  248     "
"HLA class I histocompatibility antigen A-3","HLA-A","P04439","CHEMBL2632","Surface antigen","0.0738845559978","0 /  52     "
"Chymase","CMA1","P23946","CHEMBL4068","Protease","0.0738845559978","19 /  64     "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.0738845559978","5 /  129     "
"Glutamate receptor ionotropic, AMPA 1","GRIA1","P42261","CHEMBL2009","Ligand-gated ion channel","0.0738845559978","0 /  22     "
"C-X-C chemokine receptor type 4","CXCR4","P61073","CHEMBL2107","Family A G protein-coupled receptor","0.0738845559978","0 /  70     "
"Cyclin A2","CCNA2","P20248","CHEMBL2582","Other cytosolic protein","0.0642387798076","0 /  4     "
"Kallikrein 1","KLK1","P06870","CHEMBL2319","Protease","0.0642387798076","0 /  3     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0642387798076","16 /  451     "
