"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Mu opioid receptor   (by homology)","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.182563851355","820 /  1891     "
"Delta opioid receptor   (by homology)","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.182563851355","625 /  1603     "
"C-X-C chemokine receptor type 4","CXCR4","P61073","CHEMBL2107","Family A G protein-coupled receptor","0.0944590345494","69 /  70     "
"Nociceptin receptor","OPRL1","P41146","CHEMBL2014","Family A G protein-coupled receptor","0.0944590345494","59 /  74     "
"Melanocortin receptor 4","MC4R","P32245","CHEMBL259","Family A G protein-coupled receptor","0.0847838675368","609 /  800     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0750450385472","166 /  560     "
"Melanocortin receptor 3","MC3R","P41968","CHEMBL4644","Family A G protein-coupled receptor","0.065260480835","154 /  288     "
"Melanocortin receptor 1","MC1R","Q01726","CHEMBL3795","Family A G protein-coupled receptor","0.0554216108493","145 /  241     "
"Cathepsin L","CTSL","P07711","CHEMBL3837","Protease","0.0456882472249","45 /  146     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.0358982054731","64 /  31     "
"Furin","FURIN","P09958","CHEMBL2611","Protease","0.0358982054731","33 /  62     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0358982054731","368 /  448     "
"Plasminogen","PLG","P00747","CHEMBL1801","Protease","0.0358982054731","146 /  73     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.0358982054731","428 /  79     "
"Proteinase-activated receptor 1","F2R","P25116","CHEMBL3974","Family A G protein-coupled receptor","0.0358982054731","103 /  135     "
"Neurotensin receptor 2","NTSR2","O95665","CHEMBL2514","Family A G protein-coupled receptor","0.0358982054731","0 /  56     "
"Neurotensin receptor 1   (by homology)","NTSR1","P30989","CHEMBL4123","Family A G protein-coupled receptor","0.0358982054731","2 /  133     "
"Neurokinin 1 receptor   (by homology)","TACR1","P25103","CHEMBL249","Family A G protein-coupled receptor","0.0358982054731","66 /  275     "
"Trypsin I","PRSS1","P07477","CHEMBL209","Protease","0.0358982054731","72 /  85     "
"Inhibitor of apoptosis protein 3","XIAP","P98170","CHEMBL4198","Other cytosolic protein","0.0358982054731","68 /  239     "
"Tissue-type plasminogen activator","PLAT","P00750","CHEMBL1873","Protease","0.0358982054731","27 /  10     "
"Neuropeptide FF receptor 2   (by homology)","NPFFR2","Q9Y5X5","CHEMBL5952","Family A G protein-coupled receptor","0.0358982054731","19 /  45     "
"Motilin receptor","MLNR","O43193","CHEMBL2203","Family A G protein-coupled receptor","0.0358982054731","15 /  56     "
"Ghrelin receptor","GHSR","Q92847","CHEMBL4616","Family A G protein-coupled receptor","0.0358982054731","150 /  62     "
"Serine/threonine-protein kinase AKT","AKT1","P31749","CHEMBL4282","Kinase","0.0358982054731","412 /  13     "
"Chromobox protein homolog 7","CBX7","O95931","CHEMBL1764946","Reader","0.0358982054731","0 /  18     "
"Neuropeptide Y receptor type 4","NPY4R","P50391","CHEMBL4877","Family A G protein-coupled receptor","0.0358982054731","1 /  6     "
"Cystinyl aminopeptidase","LNPEP","Q9UIQ6","CHEMBL2693","Protease","0.0358982054731","23 /  44     "
"Acetylcholine receptor protein delta chain","CHRND","Q07001","CHEMBL3011","Ligand-gated ion channel","0.0358982054731","3 /  5     "
